Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Erebia discoidalis,"Erebia discoidalis (Kirby, 1837)",Nymphalidae,Satyrinae,Erebia,discoidalis,JM12-1,JM12-1,Satyrinae2,KR138807,KR138807,TRUE,TRUE,,,,,KR139048,,,,,KR138937,KR231860,
Erebia edda,"Erebia edda Ménétriés, 1851",Nymphalidae,Satyrinae,Erebia,edda,CB4-6,CB4-6,Satyrinae2,KR138736,,TRUE,TRUE,,,,,KR138998,,,,,KR138879,KR139106,
Erebia embla,"Erebia embla (Thunberg, 1791)",Nymphalidae,Satyrinae,Erebia,embla,LEFID492-10,MM06449,Satyrinae2,HM873257,,FALSE,#N/A,,,,,,,,,,,,
Erebia epiphron,"Erebia epiphron (Knoch, 1783)",Nymphalidae,Satyrinae,Erebia,epiphron,EW24-2,EW24-2,Satyrinae2,KR138751,KR138751,TRUE,TRUE,,,,DQ338921,KR139006,,,,,KR138888,KR139113,
Erebia epistygne,"Erebia epistygne (Hübner, 1819)",Nymphalidae,Satyrinae,Erebia,epistygne,IS-106,IS-106,Satyrinae2,MN752709,MN752709,TRUE,TRUE,,,,,MN752780,,,,,MN752753,MN752833,
Erebia eriphyle,"Erebia eriphyle (Freyer, 1836)",Nymphalidae,Satyrinae,Erebia,eriphyle,CB7-1,CB7-1,Satyrinae2,KR138738,,TRUE,TRUE,,,,,KR139000,,,,,KR138881,KR139108,
Erebia euryale,"Erebia euryale (Esper, 1805)",Nymphalidae,Satyrinae,Erebia,euryale,NW162-17,NW162-17,Satyrinae2,KR138835,KR138835,TRUE,TRUE,,,,MN752733,KR139070,,,,,KR138965,KR231863,
Erebia fasciata,"Erebia fasciata Butler, 1868",Nymphalidae,Satyrinae,Erebia,fasciata,CB4-9,CB4-9,Satyrinae2,KR138737,,TRUE,TRUE,,,,,KR138999,,,,,KR138880,KR139107,
Erebia flavofasciata,"Erebia flavofasciata Heyne, 1895",Nymphalidae,Satyrinae,Erebia,flavofasciata,HW1-6,HW1-6,Satyrinae2,KR138764,,TRUE,TRUE,,,,,,,,,,KR138899,KR139126,
Erebia gorge,"Erebia gorge (Hübner, 1804)",Nymphalidae,Satyrinae,Erebia,gorge,HW5-3,HW5-3,Satyrinae2,KR138779,KR138779,TRUE,TRUE,,,,,KR139025,,,,,KR138911,KR139137,
Erebia gorgone,"Erebia gorgone Boisduval, 1833",Nymphalidae,Satyrinae,Erebia,gorgone,Rvcoll.140711ZG95,Rvcoll.140711ZG95,Satyrinae2,KP871128,,FALSE,#N/A,,,,,,,,,,,,
Erebia hispania,"Erebia hispania Butler, 1868",Nymphalidae,Satyrinae,Erebia,hispania,JM10-16,JM10-16,Satyrinae2,KR138803,KR138803,TRUE,TRUE,,,,,KR139045,,,,,KR138932,KR231866,
Erebia jeniseiensis,"Erebia jeniseiensis Trybom, 1877",Nymphalidae,Satyrinae,Erebia,jeniseiensis,JM9-11,JM9-11,Satyrinae2,MN752710,,TRUE,TRUE,,,,,,,,,,MN752756,MN752839,
Erebia lefebvrei,"Erebia lefebvrei (Boisduval, 1828)",Nymphalidae,Satyrinae,Erebia,lefebvrei,CB11-1,CB11-1,Satyrinae2,KR138713,KR138713,TRUE,TRUE,,,,,KR138976,,,,,KR138857,KR139084,
Erebia ligea,"Erebia ligea (Linnaeus, 1758)",Nymphalidae,Satyrinae,Erebia,ligea,EW5-19,EW5-19,Satyrinae2,DQ338779,DQ338779,TRUE,TRUE,,,,DQ338922,,,,,,,DQ338639,
Erebia manto,"Erebia manto ([Denis & Schiffermüller], 1775)",Nymphalidae,Satyrinae,Erebia,manto,CB9-3,CB9-3,Satyrinae2,KR138740,KR138740,TRUE,TRUE,,,,,KR139002,,,,,KR138883,KR139110,
Erebia medusa,"Erebia medusa ([Denis & Schiffermüller], 1775)",Nymphalidae,Satyrinae,Erebia,medusa,IS-102,IS-102,Satyrinae2,KR138784,KR138784,TRUE,TRUE,,,,,,,,,,KR138914,KR139139,
Erebia melampus,"Erebia melampus (Fuessly, 1775)",Nymphalidae,Satyrinae,Erebia,melampus,CB9-2,CB9-2,Satyrinae2,KR138739,KR138739,TRUE,TRUE,,,,,KR139001,,,,,KR138882,KR139109,
Erebia melas,"Erebia melas (Herbst, 1796)",Nymphalidae,Satyrinae,Erebia,melas,JM4-3,JM4-3,Satyrinae2,MN752711,MN752711,TRUE,TRUE,,,,,MN752788,,,,,MN752755,MN752850,
Erebia meolans,"Erebia meolans (Prunner, 1798)",Nymphalidae,Satyrinae,Erebia,meolans,EW24-10,EW24-10,Satyrinae2,KR138749,KR138749,TRUE,TRUE,,,,,,,,,,KR138886,KR139112,
Erebia mnestra,"Erebia mnestra (Hübner, 1804)",Nymphalidae,Satyrinae,Erebia,mnestra,IS-107,IS-107,Satyrinae2,KR138786,KR138786,FALSE,TRUE,,,,,,,,,,,,
